Time,Power,Force,Tail Length,EFO Current,Temp,Ball-area,Ball-Version,Ball-Shear,Ball-Size(X) ,Ball-Size(Y) ,Ball-Size(Z) 
40,75,40,250,35,160,25,0,46.38,78,88,11
40,75,40,250,35,160,25,0,39.05,78,80,12
40,75,40,250,35,160,25,0,49.33,78,83,13
40,75,40,250,35,160,25,0,36.92,76,85,12
40,75,40,250,35,160,25,0,41.54,76,88,13
40,75,40,250,35,160,25,0,47.94,76,84,12
40,75,40,250,35,160,25,0,51.04,78,91,11
40,75,40,250,35,160,25,0,46.19,70,83,12
40,75,40,250,35,160,25,0,42.01,76,85,14
40,60,30,250,35,160,5,1,44.17,72,73,12
40,60,30,250,35,160,5,1,47.2,72,74,11
40,60,30,250,35,160,5,1,52.42,73,74,12
40,60,30,250,35,160,5,1,50.36,70,71,12
40,60,30,250,35,160,5,1,48.76,73,74,15
40,60,30,250,35,160,5,1,43.88,72,74,14
40,60,30,250,35,160,5,1,51.58,74,72,12
40,60,30,250,35,160,5,1,46.79,72,72,14
40,60,30,250,35,160,5,1,52.48,74,76,9
40,60,30,250,35,160,5,1,46.75,72,72,14
40,60,30,250,35,160,5,0,47.06,74,75,13
40,60,30,250,35,160,5,0,44.68,74,70,15
40,60,30,250,35,160,5,0,52.58,72,72,11
40,60,30,250,35,160,5,0,52.53,75,77,11
40,60,30,250,35,160,5,0,50.09,75,76,12
40,60,30,250,35,160,5,0,46.77,72,76,11
40,60,30,250,35,160,5,0,48.75,74,76,9
40,60,30,250,35,160,5,0,47.37,74,72,11
40,60,30,250,35,160,5,0,51.96,74,73,15
40,60,30,250,35,160,5,0,47.64,74,76,10
40,60,30,250,35,160,15,1,48.25,73,77,14
40,60,30,250,35,160,15,1,49.65,72,73,13
40,60,30,250,35,160,15,1,51.88,75,73,10
40,60,30,250,35,160,15,1,50.29,72,72,10
40,60,30,250,35,160,15,1,51.06,74,74,13
40,60,30,250,35,160,15,1,50.71,72,77,13
40,60,30,250,35,160,15,1,49.76,73,72,12
40,60,30,250,35,160,15,1,50.58,72,74,13
40,60,30,250,35,160,15,1,51.88,72,75,11
40,60,30,250,35,160,15,1,48.47,72,72,13
40,60,30,250,35,160,15,0,45.54,72,74,10
40,60,30,250,35,160,15,0,49.55,73,73,12
40,60,30,250,35,160,15,0,50.26,74,73,11
40,60,30,250,35,160,15,0,52.09,72,73,9
40,60,30,250,35,160,15,0,51.07,74,75,14
40,60,30,250,35,160,15,0,51.05,72,75,11
40,60,30,250,35,160,15,0,50.17,74,73,12
40,60,30,250,35,160,15,0,52.85,74,74,10
40,60,30,250,35,160,15,0,51.35,74,77,9
40,60,30,250,35,160,15,0,48.91,72,73,12
40,60,30,250,35,160,25,1,46.76,73,78,13
40,60,30,250,35,160,25,1,52.62,75,74,13
40,60,30,250,35,160,25,1,53.58,74,74,11
40,60,30,250,35,160,25,1,50.13,71,72,12
40,60,30,250,35,160,25,1,51.95,74,74,15
40,60,30,250,35,160,25,1,48.83,74,75,16
40,60,30,250,35,160,25,1,48.67,73,74,15
40,60,30,250,35,160,25,1,46.83,71,76,9
40,60,30,250,35,160,25,1,51.14,74,75,13
40,60,30,250,35,160,25,1,48.45,72,71,13
40,60,30,250,35,160,25,0,48,75,76,13
40,60,30,250,35,160,25,0,49.76,76,79,10
40,60,30,250,35,160,25,0,51.52,73,73,11
40,60,30,250,35,160,25,0,50.83,73,75,14
40,60,30,250,35,160,25,0,51.5,74,77,12
40,60,30,250,35,160,25,0,46.88,75,76,10
40,60,30,250,35,160,25,0,48.66,74,77,12
40,60,30,250,35,160,25,0,49.29,74,75,9
40,60,30,250,35,160,25,0,49.56,74,76,12
40,60,30,250,35,160,25,0,49.66,72,74,12
40,60,40,250,35,160,5,1,48.15,74,76,15
40,60,40,250,35,160,5,1,47.6,71,75,12
40,60,40,250,35,160,5,1,52.64,73,77,12
40,60,40,250,35,160,5,1,48.9,72,73,13
40,60,40,250,35,160,5,1,51.26,73,76,11
40,60,40,250,35,160,5,1,49.15,73,77,12
40,60,40,250,35,160,5,1,51.75,75,77,10
40,60,40,250,35,160,5,1,49.85,73,76,15
40,60,40,250,35,160,5,1,50.56,74,76,14
40,60,40,250,35,160,5,1,45.98,71,75,13
40,60,40,250,35,160,5,0,46.84,74,77,13
40,60,40,250,35,160,5,0,51.11,74,78,10
40,60,40,250,35,160,5,0,51.47,74,77,10
40,60,40,250,35,160,5,0,52.21,74,75,13
40,60,40,250,35,160,5,0,54.62,75,80,13
40,60,40,250,35,160,5,0,48.52,73,80,14
40,60,40,250,35,160,5,0,52.47,76,80,7
40,60,40,250,35,160,5,0,49.05,72,76,11
40,60,40,250,35,160,5,0,52.04,76,78,12
40,60,40,250,35,160,5,0,49.54,74,76,16
40,60,40,250,35,160,15,1,46.76,74,75,13
40,60,40,250,35,160,15,1,51.26,72,76,17
40,60,40,250,35,160,15,1,51.77,74,74,12
40,60,40,250,35,160,15,1,48.97,74,74,14
40,60,40,250,35,160,15,1,49.68,75,77,11
40,60,40,250,35,160,15,1,48.41,78,75,15
40,60,40,250,35,160,15,1,49.5,74,75,16
40,60,40,250,35,160,15,1,48.05,73,74,14
40,60,40,250,35,160,15,1,47.11,74,76,13
40,60,40,250,35,160,15,1,49.36,73,74,13
40,60,40,250,35,160,15,0,48.89,74,78,10
40,60,40,250,35,160,15,0,47.97,72,74,10
40,60,40,250,35,160,15,0,51.5,74,77,10
40,60,40,250,35,160,15,0,50.99,74,76,11
40,60,40,250,35,160,15,0,49.75,74,79,11
40,60,40,250,35,160,15,0,51.95,75,80,12
40,60,40,250,35,160,15,0,49.95,74,74,14
40,60,40,250,35,160,15,0,48.91,73,75,13
40,60,40,250,35,160,15,0,54.43,75,77,11
40,60,40,250,35,160,15,0,51.56,73,74,14
40,60,40,250,35,160,25,1,47.02,76,81,10
40,60,40,250,35,160,25,1,52.94,72,73,11
40,60,40,250,35,160,25,1,50.96,75,81,10
40,60,40,250,35,160,25,1,48.25,71,73,16
40,60,40,250,35,160,25,1,51.88,75,79,13
40,60,40,250,35,160,25,1,47.97,75,77,14
40,60,40,250,35,160,25,1,51.43,72,75,14
40,60,40,250,35,160,25,1,52.36,74,74,14
40,60,40,250,35,160,25,1,49.45,72,75,12
40,60,40,250,35,160,25,1,48.95,72,78,13
